rules,,support,confidence,coverage,lift,count
1,"{ChildBks,RefBks,ItalCook,ItalAtlas} => {CookBks}",0.02,1,0.02,2.320185615,40
2,"{CookBks,RefBks,ItalCook,ItalAtlas} => {ChildBks}",0.02,0.869565217,0.023,2.055709734,40
3,"{ChildBks,CookBks,ItalCook,ItalAtlas} => {RefBks}",0.02,1,0.02,4.662004662,40
4,"{ChildBks,CookBks,RefBks,ItalAtlas} => {ItalCook}",0.02,0.888888889,0.0225,7.831620166,40
5,"{DoItYBks,ArtBks,ItalCook,ItalArt} => {CookBks}",0.025,1,0.025,2.320185615,50
6,"{CookBks,ArtBks,ItalCook,ItalArt} => {DoItYBks}",0.025,0.666666667,0.0375,2.364066194,50
7,"{CookBks,DoItYBks,ItalCook,ItalArt} => {ArtBks}",0.025,1,0.025,4.149377593,50
8,"{CookBks,DoItYBks,ArtBks,ItalArt} => {ItalCook}",0.025,0.925925926,0.027,8.157937673,50
9,"{CookBks,DoItYBks,ArtBks,ItalCook} => {ItalArt}",0.025,0.684931507,0.0365,14.12229911,50
10,"{ArtBks,GeogBks,ItalCook,ItalArt} => {CookBks}",0.024,1,0.024,2.320185615,48
11,"{CookBks,ArtBks,ItalCook,ItalArt} => {GeogBks}",0.024,0.64,0.0375,2.31884058,48
12,"{CookBks,GeogBks,ItalCook,ItalArt} => {ArtBks}",0.024,1,0.024,4.149377593,48
13,"{CookBks,ArtBks,GeogBks,ItalArt} => {ItalCook}",0.024,0.96,0.025,8.45814978,48
14,"{CookBks,ArtBks,GeogBks,ItalCook} => {ItalArt}",0.024,0.666666667,0.036,13.74570447,48
15,"{ChildBks,ArtBks,ItalCook,ItalArt} => {CookBks}",0.0285,1,0.0285,2.320185615,57
16,"{CookBks,ArtBks,ItalCook,ItalArt} => {ChildBks}",0.0285,0.76,0.0375,1.796690307,57
17,"{ChildBks,CookBks,ItalCook,ItalArt} => {ArtBks}",0.0285,1,0.0285,4.149377593,57
18,"{ChildBks,CookBks,ArtBks,ItalArt} => {ItalCook}",0.0285,0.95,0.03,8.370044053,57
19,"{ChildBks,CookBks,ArtBks,ItalCook} => {ItalArt}",0.0285,0.626373626,0.0455,12.91492013,57
20,"{ChildBks,DoItYBks,ArtBks,ItalArt} => {CookBks}",0.02,0.909090909,0.022,2.10925965,40
21,"{CookBks,DoItYBks,ArtBks,ItalArt} => {ChildBks}",0.02,0.740740741,0.027,1.751160144,40
22,"{ChildBks,CookBks,ArtBks,ItalArt} => {DoItYBks}",0.02,0.666666667,0.03,2.364066194,40
23,"{ChildBks,CookBks,DoItYBks,ItalArt} => {ArtBks}",0.02,1,0.02,4.149377593,40
24,"{ChildBks,YouthBks,RefBks,ItalCook} => {CookBks}",0.0245,1,0.0245,2.320185615,49
25,"{YouthBks,CookBks,RefBks,ItalCook} => {ChildBks}",0.0245,0.924528302,0.0265,2.185646104,49
26,"{ChildBks,CookBks,RefBks,ItalCook} => {YouthBks}",0.0245,0.590361446,0.0415,2.385298771,49
27,"{ChildBks,YouthBks,CookBks,ItalCook} => {RefBks}",0.0245,0.532608696,0.046,2.483024222,49
28,"{ChildBks,RefBks,ArtBks,ItalCook} => {CookBks}",0.022,1,0.022,2.320185615,44
